id,value,context_factor_id,context_factor_value_id,thing_id,user_id,created_at,updated_at,id,title,description,type,image,indoorsLocation,display_title,active,id,title,display_title,active_in_training,active_in_prediction,id,title,display_title,description,context_factor_id,active_in_training,active_in_prediction
727,-1,1,1,54,54cda182f51d4cd0b9e0f0fef5ddb5d1,"2019-10-11 13:10:54.190000","2019-10-11 13:10:54.190000",54,"ice cream vending machine",,BCN_I,ice-cream-vending-machine.jpg,1,"Ice Cream Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
755,-1,1,1,21,0c32137be8a146eaa3d3fd736519fbba,"2019-10-11 17:38:11.612000","2019-10-11 17:38:11.612000",21,"photo printer","Typically found in a supermarket, drugstore or similar.",BCN_I,photo-printer.jpg,1,"Photo Printing Station",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
770,1,1,1,14,0c32137be8a146eaa3d3fd736519fbba,"2019-10-11 17:39:33.333000","2019-10-11 17:39:33.333000",14,"coffee machine",,BCN_I,coffee-machine.jpg,1,"Coffee Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
795,-1,1,1,1,0607bc0a60a547c0910846e0096721df,"2019-10-13 08:54:30.700000","2019-10-13 08:54:30.700000",1,"public transport ticket machine",,BCN_I,public-transport-ticket-machine.jpg,1,"Public Transport Ticket Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
847,-1,1,1,8,0607bc0a60a547c0910846e0096721df,"2019-10-13 09:09:19.516000","2019-10-13 09:09:19.516000",8,"vending machine with drinks",,BCN_I,vending-machine-with-drinks.jpg,1,"Vending Machine with Drinks",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
861,-1,1,1,72,0607bc0a60a547c0910846e0096721df,"2019-10-13 09:10:33.051000","2019-10-13 09:10:33.052000",72,"toy vending machine",,BCN_I,toy-vending-machine.jpg,1,"Toy Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
912,0,1,1,14,d0fe1b6a1f3c4ef8ae91d3db071d2804,"2019-10-13 18:57:18.899000","2019-10-13 18:57:18.899000",14,"coffee machine",,BCN_I,coffee-machine.jpg,1,"Coffee Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
937,0,1,1,56,d0fe1b6a1f3c4ef8ae91d3db071d2804,"2019-10-13 18:59:08.580000","2019-10-13 18:59:08.580000",56,"parking meter",,BCN_I,parking-meter.jgp,0,"Parking Meter",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
967,0,1,1,10,7f82f67b83e7407893ee02b6a05c6250,"2019-10-13 19:10:54.117000","2019-10-13 19:10:54.117000",10,"vending machine with food",,BCN_I,vending-machine-with-food.jpg,1,"Vending Machine with Food",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
978,1,1,1,28,7f82f67b83e7407893ee02b6a05c6250,"2019-10-13 19:12:18.778000","2019-10-13 19:12:18.778000",28,"bike sharing station",,BCN_I,bike-sharing-station.jpg,0,"Bike Sharing Station",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
