thing_id,reference_thing_id,similarity
0x02db253f64f0d7d40239-0x0078427a8f4f-jobfair,54,1
0x02db253f64f0d7d40239-0x0078427a8f4f-jobfair,8,1
0x02db253f64f0d7d40239-0x0078427a8f4f-jobfair,10,1
0x14db031a755f13058c38-0x90fd4f348785-jobfair,62,0.6708127345858355
0x14db031a755f13058c38-0x90fd4f348785-jobfair,1,0.6491374334547217
0x14db031a755f13058c38-0x90fd4f348785-jobfair,20,0.5961969284478352
0x324ee4f4a8450f059938-0x609d427986e2-jobfair,1,0.5499617055222444
0x324ee4f4a8450f059938-0x609d427986e2-jobfair,12,0.5452089894998647
0x324ee4f4a8450f059938-0x609d427986e2-jobfair,62,0.6599664918431039
0x4c3097faccfea9850692-0xa7fb4ce59542-jobfair,20,0.7344796909920013
0x4c3097faccfea9850692-0xa7fb4ce59542-jobfair,18,0.6547396566259284
0x4c3097faccfea9850692-0xa7fb4ce59542-jobfair,1,0.71816321527598
0x4e7a36e180361a2ebbd7-0xce0c4414a2c1-jobfair,54,1
0x4e7a36e180361a2ebbd7-0xce0c4414a2c1-jobfair,8,1
0x4e7a36e180361a2ebbd7-0xce0c4414a2c1-jobfair,10,1
0x56fe701776e862565f0c-0x66104f7a9943-jobfair,62,0.6259190898188207
0x56fe701776e862565f0c-0x66104f7a9943-jobfair,12,0.5814721127429475
0x56fe701776e862565f0c-0x66104f7a9943-jobfair,23,0.5771959288914861
0x5ca6f08bfec78a47efc9-0xe4424c59bb3a-jobfair,24,0.8354916603788866
0x5ca6f08bfec78a47efc9-0xe4424c59bb3a-jobfair,44,0.6329991179853635
0x5ca6f08bfec78a47efc9-0xe4424c59bb3a-jobfair,59,1
0x83c3bda2f57bba441615-0x738c4162a0b9-jobfair,46,0.6264235462131061
0x83c3bda2f57bba441615-0x738c4162a0b9-jobfair,59,0.7081597674204151
0x83c3bda2f57bba441615-0x738c4162a0b9-jobfair,24,0.7114055179260106
0x944d37f371054f77bf34-0xe43cb8d2fa4d-jobfair,8,0.9199556542667131
0x944d37f371054f77bf34-0xe43cb8d2fa4d-jobfair,14,0.9461969547914212
0x944d37f371054f77bf34-0xe43cb8d2fa4d-jobfair,25,0.923041070886996
0x9f2316bdfdfafb4e9fd0-0xb10e4cf0a4f3-jobfair,59,0.7744601179070609
0x9f2316bdfdfafb4e9fd0-0xb10e4cf0a4f3-jobfair,44,0.6490669324132244
0x9f2316bdfdfafb4e9fd0-0xb10e4cf0a4f3-jobfair,24,0.7290475943268282
0xae8eabbefaba8e41321a-0x2b8c43fcbb6f-jobfair,59,0.599174882251651
0xae8eabbefaba8e41321a-0x2b8c43fcbb6f-jobfair,24,0.5950797453653809
0xae8eabbefaba8e41321a-0x2b8c43fcbb6f-jobfair,62,0.6116085900107995
0xbe20caa066486626b4f6-0x3a4f45828bd5-jobfair,62,0.6226606179890267
0xbe20caa066486626b4f6-0x3a4f45828bd5-jobfair,67,0.5951232519918546
0xbe20caa066486626b4f6-0x3a4f45828bd5-jobfair,23,0.6382425791088098
0xc02a9e35cdbca23d149f-0xaa2c434897e9-jobfair,62,0.6210952496614603
0xc02a9e35cdbca23d149f-0xaa2c434897e9-jobfair,18,0.6008389501410633
0xc02a9e35cdbca23d149f-0xaa2c434897e9-jobfair,46,0.6661011891274133
0xc1e82e139d16a2ea11e4-0x82904e7790e3-jobfair,24,0.6823464688271687
0xc1e82e139d16a2ea11e4-0x82904e7790e3-jobfair,46,0.6998197789266872
0xc1e82e139d16a2ea11e4-0x82904e7790e3-jobfair,59,0.6907891505735194
0xc22bc677466e6ad0f2b2-0xc041438ea3b4-jobfair,13,0.6435704817752401
0xc22bc677466e6ad0f2b2-0xc041438ea3b4-jobfair,6,1
0xc22bc677466e6ad0f2b2-0xc041438ea3b4-jobfair,21,0.6381823277283825
0xc8402426f5c788607e62-0x3d794d4baa86-jobfair,18,1
0xc8402426f5c788607e62-0x3d794d4baa86-jobfair,20,0.7505657408247902
0xc8402426f5c788607e62-0x3d794d4baa86-jobfair,46,0.7193364463590306
0xca253082bfa2f5be1949-0x4c0d44af9251-jobfair,12,0.5345097859949068
0xca253082bfa2f5be1949-0x4c0d44af9251-jobfair,62,0.5300810401105485
0xca253082bfa2f5be1949-0x4c0d44af9251-jobfair,6,0.5175339330315957
0xca982cc5c9e369c41362-0xd0fe4a35b9fb-jobfair,59,0.6402616174174602
0xca982cc5c9e369c41362-0xd0fe4a35b9fb-jobfair,64,0.7222814225157448
0xca982cc5c9e369c41362-0xd0fe4a35b9fb-jobfair,12,0.6731365085823436
0xcb0cf5aeabdb7ebfa718-0xac5a4f91a14b-jobfair,18,0.6554195838786319
0xcb0cf5aeabdb7ebfa718-0xac5a4f91a14b-jobfair,20,0.6472343759305568
0xcb0cf5aeabdb7ebfa718-0xac5a4f91a14b-jobfair,1,0.7009306957528559
0xd3ae042e808302134a8e-0x4eaa44639aec-jobfair,69,0.5740244523727343
0xd3ae042e808302134a8e-0x4eaa44639aec-jobfair,50,0.5622898560344002
0xd3ae042e808302134a8e-0x4eaa44639aec-jobfair,62,0.6050717965843134
0xd90f2bff1d4e3249e8e1-0x4bf240cb9a58-jobfair,59,0.5780345685323951
0xd90f2bff1d4e3249e8e1-0x4bf240cb9a58-jobfair,62,0.6370668992713803
0xd90f2bff1d4e3249e8e1-0x4bf240cb9a58-jobfair,18,0.5832979339763745
0xd970e8108179c7c0a886-0xbc2e4613b241-jobfair,6,0.7437961965159774
0xd970e8108179c7c0a886-0xbc2e4613b241-jobfair,13,0.6508394082597007
0xd970e8108179c7c0a886-0xbc2e4613b241-jobfair,21,0.6887253323231424
0xda41ec699b4dbd60493e-0x2e5247ed9fc0-jobfair,62,0.6375567652029087
0xda41ec699b4dbd60493e-0x2e5247ed9fc0-jobfair,24,0.6023177249517887
